2025-05-19 15:39:08 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-05-19 15:39:09 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.126.140 and 192.168.12.10
2025-05-19 15:39:09 INFO  c.r.r.service.login.LoginController - IP not found
2025-05-19 15:39:09 INFO  c.r.r.service.login.LoginController - initialized
2025-05-19 15:39:13 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-05-19 15:39:15 INFO  c.r.r.service.study.StudyService - Image received
2025-05-19 15:39:16 INFO  c.r.r.service.study.StudyService - org : CV_16UC1
2025-05-19 15:39:17 INFO  c.r.r.m.I.D.MainDrawTool - ImagingParams is null
2025-05-19 15:39:24 INFO  c.r.r.s.study.StudyMainController - saving for export...
2025-05-19 15:39:25 INFO  c.r.rxviewui.controller.ExportWindow - initialized
2025-05-19 15:39:27 INFO  c.r.rxviewui.controller.ExportStudy - before last redraw 2.440022893396846 

2025-05-19 15:39:27 INFO  c.r.rxviewui.controller.ExportStudy - after last redraw

2025-05-19 15:39:27 INFO  c.r.rxviewui.controller.ExportStudy - after last annotation

2025-05-19 15:39:58 INFO  c.r.r.s.study.StudyMainController - saving for export...
2025-05-19 15:39:58 INFO  c.r.rxviewui.controller.ExportWindow - initialized
2025-05-19 15:40:01 INFO  c.r.rxviewui.controller.ExportStudy - before last redraw 2.440022893396846 

2025-05-19 15:40:02 INFO  c.r.rxviewui.controller.ExportStudy - after last redraw

2025-05-19 15:40:02 INFO  c.r.rxviewui.controller.ExportStudy - after last annotation

2025-05-19 15:40:02 INFO  c.r.rxviewui.controller.ExportWindow - inside createDicomFile
2025-05-19 15:40:02 INFO  c.r.rxviewui.controller.ExportWindow - images ready
2025-05-19 15:40:02 INFO  c.r.rxviewui.controller.ExportWindow - meta data is ready
2025-05-19 15:40:02 INFO  c.r.rxviewui.controller.ExportWindow - dicom file ready
2025-05-19 15:40:03 INFO  c.r.rxviewui.controller.ExportStudy - before last redraw 2.440022893396846 

2025-05-19 15:40:03 INFO  c.r.rxviewui.controller.ExportStudy - after last redraw

2025-05-19 15:40:04 INFO  c.r.rxviewui.controller.ExportStudy - after last annotation

2025-05-19 15:40:04 INFO  c.r.rxviewui.controller.ExportWindow - inside createDicomFile
2025-05-19 15:40:04 INFO  c.r.rxviewui.controller.ExportWindow - images ready
2025-05-19 15:40:04 INFO  c.r.rxviewui.controller.ExportWindow - meta data is ready
2025-05-19 15:40:04 INFO  c.r.rxviewui.controller.ExportWindow - dicom file ready
2025-05-19 15:42:19 INFO  c.r.r.service.study.StudyService - org mat size 3052 * 2500
2025-05-19 15:42:27 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
2025-05-19 15:43:26 INFO  c.r.r.service.print.PrintService - Type or Depth Issue : CV_16UC4 : CV_8UC4
2025-05-19 15:43:26 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
2025-05-19 15:43:27 INFO  c.r.r.service.print.PrintService - Type or Depth Issue : CV_16UC4 : CV_8UC4
2025-05-19 15:43:28 INFO  c.r.r.service.print.PrintService - outputMat type : CV_16UC4
2025-05-19 15:43:28 INFO  c.r.r.service.print.PrintService - outputMat type: CV_16UC3
2025-05-19 15:43:28 INFO  c.r.r.service.print.PrintService - path exits
2025-05-19 15:43:28 INFO  c.r.r.service.print.PrintService - D:\Work\RxView_Java\RxView\43_RxView_Study_Restructure/dcmOutput/11.dcm
2025-05-19 15:43:28 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
