2025-04-08 16:39:08 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-04-08 16:39:09 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.31.178 and 192.168.12.10
2025-04-08 16:39:09 INFO  c.r.r.service.login.LoginController - IP not found
2025-04-08 16:39:09 INFO  c.r.r.service.login.LoginController - initialized
2025-04-08 16:39:12 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-04-08 16:39:14 INFO  c.r.r.service.study.StudyService - Image received
2025-04-08 16:39:16 INFO  c.r.r.service.study.StudyService - Mat is not empty
2025-04-08 16:39:16 INFO  c.r.r.m.I.D.MainDrawTool - ImagingParams is null
2025-04-08 16:39:23 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 0, 838x1024}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 1, 838x1022}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 4, 838x1019}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 14, 838x1009}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 32, 838x991}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 66, 838x957}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 120, 838x903}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 151, 838x872}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 161, 838x862}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 185, 838x838}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 205, 838x818}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 237, 838x786}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 288, 838x735}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 330, 838x693}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 343, 838x680}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 346, 838x677}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 349, 838x674}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 351, 838x672}
2025-04-08 16:39:24 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 357, 838x666}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 357, 838x666}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 352, 838x671}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 344, 838x679}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 331, 838x692}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 318, 838x705}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 317, 838x706}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 313, 838x710}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 317, 838x706}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 322, 838x701}
2025-04-08 16:39:25 INFO  c.r.r.m.I.D.CropLayout - cropLayout cropRect : {0, 327, 838x696}
