2025-04-30 17:29:21 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-04-30 17:29:22 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.1.139 and 192.168.12.10
2025-04-30 17:29:22 INFO  c.r.r.service.login.LoginController - IP not found
2025-04-30 17:29:22 INFO  c.r.r.service.login.LoginController - initialized
2025-04-30 17:29:25 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.i.ImageDrawWrapperHandling - is crop selected true 
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:29:31 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:42 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:42 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:29:42 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:29:42 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:43 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:52 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:52 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:54 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:54 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:55 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:55 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:55 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:55 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:59 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:29:59 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:00 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 405.2425531914894 startY 34.17446808510638 endX 666.6893617021277 endY 160.5404255319149
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 405.2425531914894 startY 34.17446808510638 endX 666.6893617021277 endY 160.5404255319149
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 405.2425531914894 startY 34.17446808510638 endX 666.6893617021277 endY 160.5404255319149
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 228.7659574468085 startY 135.48510638297873 endX 405.2425531914894 endY 34.17446808510638
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 405.2425531914894 startY 34.17446808510638 endX 666.6893617021277 endY 160.5404255319149
2025-04-30 17:30:01 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.i.ImageDrawWrapperHandling - is crop selected true 
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:30:16 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:20 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:20 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 433.56595744680845 startY 8.029787234042459 endX 472.7829787234042 endY 170.34468085106383
2025-04-30 17:30:20 INFO  c.r.r.m.I.D.CanvasMainChange - line startX 472.7829787234042 startY 170.34468085106383 endX 874.7574468085106 endY 1.4936170212765958
2025-04-30 17:30:20 INFO  c.r.r.m.I.D.CanvasMainChange - ================================================
2025-04-30 17:30:31 INFO  c.r.r.modules.print.Layout.LayoutTab - cropMultiple 2.98046875
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - 2048.0 * 2560.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - display image 3052.0 2500.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - edited image 1024x838 
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - rect 130.72340425531917 203.74468085106378 741.8553191489361 406.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - new rect {389, 607, 2211x1210}
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ================================================
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ================================================
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - printDynamicCanvasElementsResize.getMultiple() 2.98046875
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - 2048.0 * 2560.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - display image 3052.0 2500.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - edited image 1024x838 
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - rect 130.72340425531917 203.74468085106378 741.8553191489361 406.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - new rect {389, 607, 2211x1210}
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ================================================
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 261.4468085106383 startY 238.51489361702127 endX 370.3829787234043 endY 382.31063829787234
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 370.3829787234043 startY 382.31063829787234 endX 374.74042553191487 endY 69.66382978723404
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 717.8893617021276 startY 382.31063829787234 endX 809.3957446808511 endY 186.22553191489362
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 809.3957446808511 startY 186.22553191489362 endX 868.2212765957447 endY 283.1787234042553
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ================================================
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - 2048.0 * 2560.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - display image 3052.0 2500.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - edited image 1024x838 
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - rect 130.72340425531917 203.74468085106378 741.8553191489361 406.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - new rect {389, 607, 2211x1210}
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ================================================
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 261.4468085106383 startY 238.51489361702127 endX 370.3829787234043 endY 382.31063829787234
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 370.3829787234043 startY 382.31063829787234 endX 374.74042553191487 endY 69.66382978723404
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 717.8893617021276 startY 382.31063829787234 endX 809.3957446808511 endY 186.22553191489362
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - print line startX 809.3957446808511 startY 186.22553191489362 endX 868.2212765957447 endY 283.1787234042553
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - ================================================
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - 2211.0 * 1210.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - display image 3052.0 2500.0
2025-04-30 17:30:32 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - edited image 1024x838 
