2025-04-10 17:43:31 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-04-10 17:43:32 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.31.178 and 192.168.12.10
2025-04-10 17:43:32 INFO  c.r.r.service.login.LoginController - IP not found
2025-04-10 17:43:32 INFO  c.r.r.service.login.LoginController - initialized
2025-04-10 17:43:35 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-04-10 17:43:38 INFO  c.r.r.service.study.StudyService - Image received
2025-04-10 17:43:39 INFO  c.r.r.service.study.StudyService - Mat is not empty
2025-04-10 17:43:40 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:40 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:40 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:40 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:40 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:40 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:40 INFO  c.r.r.m.I.D.MainDrawTool - ImagingParams is null
2025-04-10 17:43:49 INFO  c.r.r.s.study.StudyMainController - saving for export...
2025-04-10 17:43:49 INFO  c.r.rxviewui.controller.ExportWindow - initialized
2025-04-10 17:43:49 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:49 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:49 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:49 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:54 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:54 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:43:55 INFO  c.r.rxviewui.controller.ExportWindow - inside createDicomFile
2025-04-10 17:43:55 INFO  c.r.rxviewui.controller.ExportWindow - images ready
2025-04-10 17:43:55 INFO  c.r.rxviewui.controller.ExportWindow - meta data is ready
2025-04-10 17:43:55 INFO  c.r.rxviewui.controller.ExportWindow - dicom file ready
2025-04-10 17:44:01 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:44:01 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:44:01 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:44:01 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
