2025-04-10 17:16:45 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-04-10 17:16:46 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.31.178 and 192.168.12.10
2025-04-10 17:16:46 INFO  c.r.r.service.login.LoginController - IP not found
2025-04-10 17:16:46 INFO  c.r.r.service.login.LoginController - initialized
2025-04-10 17:16:49 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-04-10 17:16:52 INFO  c.r.r.service.study.StudyService - Image received
2025-04-10 17:16:53 INFO  c.r.r.service.study.StudyService - Mat is not empty
2025-04-10 17:16:54 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:16:54 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:16:54 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:16:54 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:16:54 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:16:54 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:16:54 INFO  c.r.r.m.I.D.MainDrawTool - ImagingParams is null
2025-04-10 17:17:07 INFO  c.r.r.s.study.StudyMainController - saving for export...
2025-04-10 17:17:07 INFO  c.r.rxviewui.controller.ExportWindow - initialized
2025-04-10 17:17:07 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:17:07 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:17:07 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:17:07 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:17:11 INFO  c.r.r.s.study.StudyMainController - w 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:17:11 INFO  c.r.r.s.study.StudyMainController - h 1526.0 1526.0 1526.0 1526.0 
2025-04-10 17:17:11 INFO  c.r.rxviewui.controller.ExportWindow - inside createDicomFile
2025-04-10 17:17:11 INFO  c.r.rxviewui.controller.ExportWindow - images ready
2025-04-10 17:17:11 INFO  c.r.rxviewui.controller.ExportWindow - meta data is ready
2025-04-10 17:17:11 INFO  c.r.rxviewui.controller.ExportWindow - dicom file ready
