2025-03-27 17:05:31 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-03-27 17:05:32 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.31.178 and 192.168.12.10
2025-03-27 17:05:32 INFO  c.r.r.service.login.LoginController - IP not found
2025-03-27 17:05:32 INFO  c.r.r.service.login.LoginController - initialized
2025-03-27 17:05:35 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - Input: ROW\1,2,2,1
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - Processing ROW layout with values: 1, 2, 2, 1
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 2048.0 , height : 640.0 , row : 1
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 2048.0 , height : 640.0
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 2048.0 , height : 640.0 , row : 2
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 1024.0 , height : 640.0
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 1024.0 , height : 640.0
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 2048.0 , height : 640.0 , row : 2
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 1024.0 , height : 640.0
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 1024.0 , height : 640.0
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 2048.0 , height : 640.0 , row : 1
2025-03-27 17:05:40 INFO  c.r.r.m.print.PrintLayoutCreator - width : 2048.0 , height : 640.0
