2025-05-17 15:49:58 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-05-17 15:49:59 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.126.140 and 192.168.12.10
2025-05-17 15:49:59 INFO  c.r.r.service.login.LoginController - IP not found
2025-05-17 15:49:59 INFO  c.r.r.service.login.LoginController - initialized
2025-05-17 15:50:02 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-05-17 15:50:05 INFO  c.r.r.service.study.StudyService - mat length 1024 * width 838
2025-05-17 15:50:05 INFO  c.r.r.service.study.StudyService - display image lent1024.0 * width 838.0
2025-05-17 15:50:10 INFO  c.r.r.service.study.StudyService - Image received
2025-05-17 15:50:11 INFO  c.r.r.service.study.StudyService - org : CV_16UC1
2025-05-17 15:50:11 INFO  c.r.r.service.study.StudyService - mat length 1024 * width 838
2025-05-17 15:50:11 INFO  c.r.r.service.study.StudyService - display image lent1024.0 * width 838.0
2025-05-17 15:50:11 INFO  c.r.r.m.I.D.MainDrawTool - ImagingParams is null
2025-05-17 15:52:26 INFO  c.r.r.service.study.StudyService - mat length 1024 * width 838
2025-05-17 15:52:26 INFO  c.r.r.service.study.StudyService - display image lent1024.0 * width 838.0
2025-05-17 15:52:28 INFO  c.r.r.service.study.StudyService - mat length 1024 * width 838
2025-05-17 15:52:28 INFO  c.r.r.service.study.StudyService - display image lent1024.0 * width 838.0
2025-05-17 15:52:28 INFO  c.r.r.service.study.StudyService - mat length 1024 * width 838
2025-05-17 15:52:28 INFO  c.r.r.service.study.StudyService - display image lent1024.0 * width 838.0
