2025-07-17 16:04:50 INFO  c.r.r.s.study.StudyMainController - Console is ON
2025-07-17 16:05:15 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-07-17 16:05:15 INFO  c.r.r.service.login.LoginController - 192.168.12.10
2025-07-17 16:05:15 INFO  c.r.r.service.login.LoginController - No Wi-Fi interface found or no IPv4 address assigned.
2025-07-17 16:05:16 INFO  c.r.r.s.study.StudyMainController - Setting console values for body part: Chest
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Setting Xray Console - kv: 70.0, ma: 80, mas: 4.0
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - setMa kv1: 70.0, ma1: 80.0
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - x: 175
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Current Sent: 80.0
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.32
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.49
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.29
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.49
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - filamentCurrent: 8.32
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - KV Sent : 70.0
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.32
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.49
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.29
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Calibration Val: 8.49
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - In short sending KV: 208
2025-07-17 16:05:16 INFO  c.r.s.r.TriggerCommandRxOld - Serial port is not open.
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - In byte sending KV: -48
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - setExposureTime 0.05
2025-07-17 16:05:16 INFO  c.r.r.m.s.SerialPortManager - Exposure Time Sent - 50
2025-07-17 16:05:16 INFO  c.r.s.r.TriggerCommandRxOld - Setting KV to: -48
2025-07-17 16:05:16 INFO  c.r.s.r.TriggerCommandRxOld - Serial port is not open.
2025-07-17 16:05:16 INFO  c.r.s.r.TriggerCommandRxOld - Setting Exposure Time to: 50 0 and G
2025-07-17 16:05:16 INFO  c.r.s.r.TriggerCommandRxOld - Serial port is not open.
2025-07-17 16:05:17 INFO  c.r.r.service.study.StudyService - current bodyPart chest AP
