2025-05-23 11:31:16 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-05-23 11:31:17 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.126.140 and 192.168.12.10
2025-05-23 11:31:17 INFO  c.r.r.service.login.LoginController - IP not found
2025-05-23 11:31:17 INFO  c.r.r.service.login.LoginController - initialized
2025-05-23 11:31:21 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-05-23 11:31:25 INFO  c.r.r.m.print.Layout.LayoutCreator - Creating layout with code: STANDARD\1,1 2048.0 2560.0
2025-05-23 11:31:29 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - displayImage w * h : 3052.0 * 2500.0
2025-05-23 11:31:29 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - width * height : 1237 * 2497
2025-05-23 11:31:29 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - displayImage w * h : 3052.0 * 2500.0
2025-05-23 11:31:29 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - width * height : 1237 * 2497
