2025-05-08 12:04:00 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-05-08 12:04:01 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.1.139 and 192.168.12.10
2025-05-08 12:04:01 INFO  c.r.r.service.login.LoginController - IP not found
2025-05-08 12:04:01 INFO  c.r.r.service.login.LoginController - initialized
2025-05-08 12:04:04 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 1019.0 * 1280.0
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 2038.0 * 1280.0
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 1019.0 * 2560.0
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 2038.0 * 2560.0
2025-05-08 12:04:27 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:27 INFO  c.r.r.service.print.PrintService - size 2 
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 1019.0 * 1280.0
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 2038.0 * 1280.0
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 1019.0 * 2560.0
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - absoluteWidth absoluteHeight : 2038.0 * 2560.0
2025-05-08 12:04:33 INFO  c.r.r.m.p.p.PrintPageToImageCordData - ===================================================
2025-05-08 12:04:33 INFO  c.r.r.service.print.PrintService - size 2 
