2025-05-03 13:02:07 INFO  c.r.rxviewui.controller.LoginPage - logged In
2025-05-03 13:02:08 INFO  c.r.r.service.login.LoginController - ip mismatched 192.168.1.139 and 192.168.12.10
2025-05-03 13:02:08 INFO  c.r.r.service.login.LoginController - IP not found
2025-05-03 13:02:08 INFO  c.r.r.service.login.LoginController - initialized
2025-05-03 13:02:11 INFO  c.r.r.service.login.LoginController - No devices found!!!
2025-05-03 13:02:18 INFO  c.r.r.modules.print.Layout.LayoutTab - imageToolMultiple 2.1591796875
2025-05-03 13:02:19 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - printDynamicCanvasElementsResize.getMultiple() 2.1591796875
2025-05-03 13:02:37 INFO  c.r.r.modules.print.Layout.LayoutTab - imageToolMultiple 2.1591796875
2025-05-03 13:02:37 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - printDynamicCanvasElementsResize.getMultiple() 2.1591796875
2025-05-03 13:02:40 INFO  c.r.r.modules.print.Layout.LayoutTab - imageToolMultiple 2.1591796875
2025-05-03 13:02:40 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - printDynamicCanvasElementsResize.getMultiple() 2.1591796875
2025-05-03 13:02:41 INFO  c.r.r.modules.print.Layout.LayoutTab - imageToolMultiple 2.1591796875
2025-05-03 13:02:41 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - printDynamicCanvasElementsResize.getMultiple() 2.1591796875
2025-05-03 13:02:42 INFO  c.r.r.modules.print.Layout.LayoutTab - imageToolMultiple 2.1591796875
2025-05-03 13:02:43 INFO  c.r.r.m.p.i.d.PrintCanvasMainChange - printDynamicCanvasElementsResize.getMultiple() 2.1591796875
